MO,JQ,Lake Orion,Long Beach,Yangshan,75.6168,32.02,,1342,1880,1128,1916,1384,2155,2500,12500,76.2075,0.8,1047.238913,1368.301738
MO,NS,Lake Orion,Long Beach,Dalian,75.6168,32.02,,1342,1880,1207,2009,4331,4922,1500,6500,76.2075,0.8,1087.777201,1325.399122
MO,DY,Lake Orion,Long Beach,Yantai,75.6168,32.02,,1342,1880,1446,2092,1629,1629,1500,6500,76.2075,0.8,1069.482566,1280.423432
MO,WH,Lake Orion,Long Beach,Yangshan,75.6168,32.02,,1342,1880,1128,1916,1384,2155,2500,12500,76.2075,0.8,1047.238913,1368.301738
NC,JQ,Lake Orion,Long Beach,Yangshan,102.5962,32.02,,1342,1880,1128,1916,1384,2155,2500,12500,76.2075,0.8,1226.347055,1547.409881
NC,NS,Lake Orion,Long Beach,Dalian,102.5962,32.02,,1342,1880,1207,2009,4331,4922,1500,6500,76.2075,0.8,1266.885344,1504.507264
NC,DY,Lake Orion,Long Beach,Yantai,102.5962,32.02,,1342,1880,1446,2092,1629,1629,1500,6500,76.2075,0.8,1248.590709,1459.531575
NC,WH,Lake Orion,Long Beach,Yangshan,102.5962,32.02,,1342,1880,1128,1916,1384,2155,2500,12500,76.2075,0.8,1226.347055,1547.409881
NM,JQ,Lake Orion,Long Beach,Yangshan,24.6862,32.02,,1342,1880,1128,1916,1384,2155,2500,12500,76.2075,0.8,709.1259384,1030.188764
NM,NS,Lake Orion,Long Beach,Dalian,24.6862,32.02,,1342,1880,1207,2009,4331,4922,1500,6500,76.2075,0.8,749.664227,987.2861474
NM,DY,Lake Orion,Long Beach,Yantai,24.6862,32.02,,1342,1880,1446,2092,1629,1629,1500,6500,76.2075,0.8,731.3695922,942.3104576
NM,WH,Lake Orion,Long Beach,Yangshan,24.6862,32.02,,1342,1880,1128,1916,1384,2155,2500,12500,76.2075,0.8,709.1259384,1030.188764
NJ,JQ,Lake Orion,Long Beach,Yangshan,68.061,32.02,,1342,1880,1128,1916,1384,2155,2500,12500,76.2075,0.8,997.0782232,1318.141048
NJ,NS,Lake Orion,Long Beach,Dalian,68.061,32.02,,1342,1880,1207,2009,4331,4922,1500,6500,76.2075,0.8,1037.616512,1275.238432
NJ,DY,Lake Orion,Long Beach,Yantai,68.061,32.02,,1342,1880,1446,2092,1629,1629,1500,6500,76.2075,0.8,1019.321877,1230.262742
NJ,WH,Lake Orion,Long Beach,Yangshan,68.061,32.02,,1342,1880,1128,1916,1384,2155,2500,12500,76.2075,0.8,997.0782232,1318.141048
NY,JQ,Lake Orion,Long Beach,Yangshan,82.369,32.02,,1342,1880,1128,1916,1384,2155,2500,12500,76.2075,0.8,1092.064743,1413.127568
NY,NS,Lake Orion,Long Beach,Dalian,82.369,32.02,,1342,1880,1207,2009,4331,4922,1500,6500,76.2075,0.8,1132.603031,1370.224952
NY,DY,Lake Orion,Long Beach,Yantai,82.369,32.02,,1342,1880,1446,2092,1629,1629,1500,6500,76.2075,0.8,1114.308397,1325.249262
NY,WH,Lake Orion,Long Beach,Yangshan,82.369,32.02,,1342,1880,1128,1916,1384,2155,2500,12500,76.2075,0.8,1092.064743,1413.127568
OH,JQ,Lake Orion,Long Beach,Yangshan,,32.02,,1342,1880,1128,1916,1384,2155,2500,12500,76.2075,0.8,,
OH,NS,Lake Orion,Long Beach,Dalian,,32.02,,1342,1880,1207,2009,4331,4922,1500,6500,76.2075,0.8,,
OH,DY,Lake Orion,Long Beach,Yantai,,32.02,,1342,1880,1446,2092,1629,1629,1500,6500,76.2075,0.8,,
OH,WH,Lake Orion,Long Beach,Yangshan,,32.02,,1342,1880,1128,1916,1384,2155,2500,12500,76.2075,0.8,,
PA,JQ,Lake Orion,Long Beach,Yangshan,48.8824,32.02,,1342,1880,1128,1916,1384,2155,2500,12500,76.2075,0.8,869.7572513,1190.820077
PA,NS,Lake Orion,Long Beach,Dalian,48.8824,32.02,,1342,1880,1207,2009,4331,4922,1500,6500,76.2075,0.8,910.2955399,1147.91746
PA,DY,Lake Orion,Long Beach,Yantai,48.8824,32.02,,1342,1880,1446,2092,1629,1629,1500,6500,76.2075,0.8,892.0009052,1102.941771
PA,WH,Lake Orion,Long Beach,Yangshan,48.8824,32.02,,1342,1880,1128,1916,1384,2155,2500,12500,76.2075,0.8,869.7572513,1190.820077
RI,JQ,Lake Orion,Long Beach,Yangshan,62.8376,32.02,,1342,1880,1128,1916,1384,2155,2500,12500,76.2075,0.8,962.4016376,1283.464463
RI,NS,Lake Orion,Long Beach,Dalian,62.8376,32.02,,1342,1880,1207,2009,4331,4922,1500,6500,76.2075,0.8,1002.939926,1240.561847
RI,DY,Lake Orion,Long Beach,Yantai,62.8376,32.02,,1342,1880,1446,2092,1629,1629,1500,6500,76.2075,0.8,984.6452914,1195.586157
RI,WH,Lake Orion,Long Beach,Yangshan,62.8376,32.02,,1342,1880,1128,1916,1384,2155,2500,12500,76.2075,0.8,962.4016376,1283.464463
