TEC No.,Common Part Name,MGO Part Name & Tech Example DMU
72,Body Hinge Pillar Inner Panel Reinforcement ASM LH/RH,REINFORCEMENT ASM-BODY H/PLR INR PNL or REINFORCEMENT ASM-BODY H/PLR  LWR or REINFORCEMENT-BODY H/PLR INR PNL(E15)
73,Roof Side Rail Outer Reinforcement ASM LH/RH,REINFORCEMENT ASM-RF S/RL or RAIL ASM-RF OTR SI
74,Rocker Outer Reinforcement ASM LH/RH,REINFORCEMENT ASM-RKR OTR PNL or REINFORCEMENT-RKR OTR PNL FRT(E16)
75,Center Pillar Outer Reinforcement ASM LH/RH,REINFORCEMENT ASM-C/PLR OTR PNL CTR or REINFORCEMENT ASM-CTR PLR OTR PNL(E15/E16/E18/E12/E17)
76,Body Hinge Pillar Panel Reinforcement ASM LH/RH,REINF ASM BODY H/PLR PNL or REINFORCEMENT ASM-BODY H/PLR  OTR PNL
77,Roof Rear Header Panel ASM,PANEL ASM-RF RR HDR or PANEL-RF RR HDR(E15/E16/E12/E17)
78,Rear End Lower Panel Reinforcement ASM,REINFORCEMENT ASM-R/END LWR   PNL
79,Front Side Door Window Frame ASM LH/RH,FRAME ASM-FRT S/D WDO
80,Front Door Inner LH/RH,PANEL-FRT S/D INR
81,Front Door Outer LH/RH,PANEL-FRT S/D OTR
82,Rear Side Door Window Frame ASM LH/RH,FRAME ASM-RR S/D WDO
83,Rear Door Inner LH/RH,PANEL-RR S/D INR
84,Rear Door Outer LH/RH,PANEL-RR S/D OTR
85,Hood Inner Panel (Structure),PANEL-HOOD INR
86,Hood Outer Panel (Skin),PANEL-HOOD or PANEL-HOOD OTR(E16/E12/E17)
87,Liftgate Inner or Decklid Inner Panel (Structure),PANEL-L/GATE INR or PANEL-R/CMPT LID INR
88,Outer Panel Liftgate Lower or Decklid Outer (Skin),PANEL-L/GATE or PANEL-R/CMPT LID or PANEL-R/CMPT LID UPR(E15/E16/E12/E17)
89,Rear Spring LH/RH,SPRING ASM-RR or SPRING-RR(E15/)
90,Rear Shock Absorber ASM,ABSORBER ASM-RR SHK (W/ UPR   MT)
91,Rear Stabilizer Shaft Asm,SHAFT ASM-RR STAB
92,Rear Brake Disc / Rotor LH/RH,ROTOR-RR BRK (COATED)
93,Rear Brake Caliper LH/RH,CALIPER ASM-RR BRK
94,Steering Knuckle LH/RH,KNUCKLE-STRG
95,Front Brake disc / rotor LH/RH,ROTOR-FRT BRK (COATED)
96,Front Brake Caliper LH/RH,CALIPER ASM-FRT BRK 
97,FRT Spring LH/RH,SPRING-FRT or SPRING ASM-FRT COIL(E15)
98,Front Strut ASM LH/RH,STRUT ASM-FRT SUSP (W/ SPR) or ABSORBER ASM-FRT SHK (W/ SPR) or STRUT ASM-FRT SUSP(E15/E16)
99,Front Stabilizer Bar,SHAFT ASM-FRT STAB
100,Front Control Arms LH/RH,ARM ASM-FRT LWR CONT (W/ BUSH)
