Supplier Duns,Supplier Name,Pick Up Loaction,State,City,ZIP CODE,Kilometers,Rate,CPC
108415431,Creative Foam Corporation,"300 N Alloy Drive, Fenton,MI 48451",MI,"Fenton, MI",48451,84,0.34,28.56
138440180,GM POWERTRAIN-BALTIMORE,"36880 Ecorse Road, Romulus, MI 48174",MI,"Romulus,MI",48174,84,0.34,28.56
178080156,TRW Engineered Fasteners & Componen,"9475 Center Road, Fenton,MI 48430",MI,"Fenton, MI",48430,84,0.34,28.56
192853,GM Brownstown Battery Assembly Plant,"20001 Brownstown Center Dr, Brownstown, MI. 48183",MI,"Brownstown, MI",48183,84.4,0.34,28.70
122505659,TRW Automotive - Fowlerville,"500 East Van Riper, Fowlerville, MI 48836",MI,"Fowlerville, MI",48836,85.9,0.34,29.21
57009821,Wellington Industries,"39555 S I-94 Service Dr, Belleville,MI 48111",MI,"Belleville, MI",48111,88,0.34,29.92
132713012,Grupo Antolin Michigan,"6300 Euclid St.,  ",MI,Marlette MI,48453,91.2,0.34,31.01
5356688,GM POWERTRAIN-BAY CITY,"2480 Airport Dr Ypsilanti, MI 48198",MI,"Ypsilanti, MI (Airport)",48198,92.37,0.34,31.41
5498423,Progressive Metal Forming,"10850 Hall Road, Hamburg, MI  48139",MI,"Hamburg, MI, MI",48139,92.5,0.34,31.45
963150821,"Flexible Metal, Inc.","7495 E M - 36 Hamburg, MI 48319",MI,"Hamburg, MI, MI",48319,92.5,0.34,31.45
794287008,DIVERSIFIED MACHINE BRISTOL INC c/o,"2223 Dove Street, Port Huron, MI  48060",MI," Port Huron, MI",48060,98.2,0.34,33.39
112900746,Means Industries,"3715 E.Washington Rd.Saginaw,MI.48601 USA",MI,"Saginaw, MI",48601,125.4,0.34,42.64
2127157,GM POWERTRAIN - BAY CITY,1001 WOODSIDE AVE BAY CITY MICHIGAN 48708 UNITED STATES,MI,"Bay City, MI",48708,139.7,0.34,47.50
5356878,NEXTEER AUTOMOTIVE,"1655 Tech Dr. STE. B, Bay City MI 48706",MI,"Bay City, MI",48706,139.7,0.34,47.50
603014643,ALLIANCE INTERIORS LLC???????????????????????????????? ,West mount Hope,MI,"Lanisng, MI",48917,149.7,0.34,50.90
621287999,Johnson Controls Interior Manufactu,"7009 W Mount Hope Way, Lansing, MI 48917",MI,"Lansing, MI",48917,149.7,0.34,50.90
840208362,INERGY AUTOMOTIVE SYSTEMS USA,"1549 West Beecher Road, Adrian MI 49221",MI,"Adrian, MI",49221,149.8,0.34,50.93
160016291,GESTAMP MASON LLC,"200 KIPP RD, MASON, MI  48854",MI,"Mason, MI",48854,156.1,0.34,53.07
966850612,"Norplas Industries, Inc.",7825 Caple Blvd,OH,Northwood,43619,157.1,0.21,32.99
606360444,Michigan Automotive Compresor (MACI),2400 N Dearing Rd,MI,"Parma, MI",49269,162.5,0.34,55.25
557013716,"Tubular Metal Systems,LLC","401 E 5TH ST PINCONNING, MI 48650",MI,"PINCONNING, MI",48650,170.8,0.34,58.07
5043310,Rima Manufacturing Company,"3850 Munson Hwy, Hudson, MI 49247 ",MI,"Hudson, MI",49247,177,0.34,60.18
78315630,BremboNorthAmerica,"5851 30 MILE RD Homer MI, 49245",MI,"Homer MI, MI",49245,188.9,0.34,64.23
69905219,Dayco,"1799 Gover Parkway
Mount Pleasant, Michigan  48858",MI,"Pleasant, Michigan",48858,209.9,0.34,71.37
21093638,BOPP-BUSCH MANUFACTURING,"545 E HURON ST, AU GRES, MI  48703",MI,"AU, GRES",48703,214.4,0.34,72.90
6031561,Magna Donnelly ¨C Lowell ?????????????????????????????????,6151 Bancroft Ave,MI,"Alto, MI",49302,217.3,0.34,73.88
