,,,,,,,,,,,,,,,,,,,,
,,物流台账报表,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
零件号,零件名称,合同DUNS,合同供应商名称,制造供应商名字,采购员,计量单位,货币单位,台账区域,内包装费用,内包装所有者,外包装费用,外包装所有者,运输方,运输费用,运输模式,运输是否排序,排序费用,LOCATION,Bidderlist No,项目名
11048336,HEX HEAD SCREW-M 8X 25 Z 3 SECHSKANTSCHR-,527702880,上海上标汽车紧固件有限公司,527702880:上海上标汽车紧固件有限公司,"张婧,Zhang Jing",EA,CNY,烟台东岳动力总成,0,SGM,0,SGM,,0,,,0,,,E15 MY15
11048336,HEX HEAD SCREW-M 8X 25 Z 3 SECHSKANTSCHR-,527702880,上海上标汽车紧固件有限公司,527702880:上海上标汽车紧固件有限公司,"张婧,Zhang Jing",EA,CNY,烟台东岳动力总成,0,SGM,0,SGM,,0,,,0,,,G01 S&S MT
11048336,HEX HEAD SCREW-M 8X 25 Z 3 SECHSKANTSCHR-,527702880,上海上标汽车紧固件有限公司,527702880:上海上标汽车紧固件有限公司,"张婧,Zhang Jing",EA,CNY,烟台东岳动力总成,0,SGM,0,SGM,,0,,,0,,,G60 14.5MY
11048336,HEX HEAD SCREW-M 8X 25 Z 3 SECHSKANTSCHR-,527702880,上海上标汽车紧固件有限公司,527702880:上海上标汽车紧固件有限公司,"张婧,Zhang Jing",EA,CNY,烟台东岳动力总成,0,SGM,0,SGM,,0,,,0,,,G60 15MY
11048336,HEX HEAD SCREW-M 8X 25 Z 3 SECHSKANTSCHR-,527702880,上海上标汽车紧固件有限公司,527702880:上海上标汽车紧固件有限公司,"张婧,Zhang Jing",EA,CNY,烟台东岳动力总成,0,SGM,0,SGM,,0,,,0,,,G65-2 SPL
11048336,HEX HEAD SCREW-M 8X 25 Z 3 SECHSKANTSCHR-,527702880,上海上标汽车紧固件有限公司,527702880:上海上标汽车紧固件有限公司,"张婧,Zhang Jing",EA,CNY,烟台东岳动力总成,0,SGM,0,SGM,,0,,,0,,,G66-2 SPL
11048336,HEX HEAD SCREW-M 8X 25 Z 3 SECHSKANTSCHR-,527702880,上海上标汽车紧固件有限公司,527702880:上海上标汽车紧固件有限公司,"张婧,Zhang Jing",EA,CNY,烟台东岳动力总成,0,SGM,0,SGM,,0,,,0,,,GSUV Extension
11048336,HEX HEAD SCREW-M 8X 25 Z 3 SECHSKANTSCHR-,527702880,上海上标汽车紧固件有限公司,527702880:上海上标汽车紧固件有限公司,"张婧,Zhang Jing",EA,CNY,烟台东岳动力总成,0,SGM,0,SGM,,0,,,0,,,K216
11048336,HEX HEAD SCREW-M 8X 25 Z 3 SECHSKANTSCHR-,527702880,上海上标汽车紧固件有限公司,527702880:上海上标汽车紧固件有限公司,"张婧,Zhang Jing",EA,CNY,烟台东岳动力总成,0,SGM,0,SGM,,0,,,0,,,SGM318
11048336,HEX HEAD SCREW-M 8X 25 Z 3 SECHSKANTSCHR-,527702880,上海上标汽车紧固件有限公司,527702880:上海上标汽车紧固件有限公司,"张婧,Zhang Jing",EA,CNY,烟台东岳动力总成,0,SGM,0,SGM,,0,,,0,,,SGM318-03
11048336,HEX HEAD SCREW-M 8X 25 Z 3 SECHSKANTSCHR-,527702880,上海上标汽车紧固件有限公司,527702880:上海上标汽车紧固件有限公司,"张婧,Zhang Jing",EA,CNY,烟台东岳动力总成,0,SGM,0,SGM,,0,,,0,,,SGM615 零星项目
11048336,HEX HEAD SCREW-M 8X 25 Z 3 SECHSKANTSCHR-,527702880,上海上标汽车紧固件有限公司,527702880:上海上标汽车紧固件有限公司,"张婧,Zhang Jing",EA,CNY,烟台东岳动力总成,0,SGM,0,SGM,,0,,,0,,,SGM618/600/620
11048336,HEX HEAD SCREW-M 8X 25 Z 3 SECHSKANTSCHR-,527702880,上海上标汽车紧固件有限公司,527702880:上海上标汽车紧固件有限公司,"张婧,Zhang Jing",EA,CNY,烟台东岳动力总成,0,SGM,0,SGM,,0,,,0,,,SGMD01
11048336,HEX HEAD SCREW-M 8X 25 Z 3 SECHSKANTSCHR-,527702880,上海上标汽车紧固件有限公司,527702880:上海上标汽车紧固件有限公司,"张婧,Zhang Jing",EA,CNY,烟台东岳动力总成,0,SGM,0,SGM,,0,,,0,,,SGMD06
11048336,HEX HEAD SCREW-M 8X 25 Z 3 SECHSKANTSCHR-,527702880,上海上标汽车紧固件有限公司,527702880:上海上标汽车紧固件有限公司,"张婧,Zhang Jing",EA,CNY,烟台东岳动力总成,0,SGM,0,SGM,,0,,,0,,,SGMD06 11MY
11048336,HEX HEAD SCREW-M 8X 25 Z 3 SECHSKANTSCHR-,527702880,上海上标汽车紧固件有限公司,527702880:上海上标汽车紧固件有限公司,"张婧,Zhang Jing",EA,CNY,烟台东岳动力总成,0,SGM,0,SGM,,0,,,0,,,SGM D06 16 14MY CY
11048336,HEX HEAD SCREW-M 8X 25 Z 3 SECHSKANTSCHR-,527702880,上海上标汽车紧固件有限公司,527702880:上海上标汽车紧固件有限公司,"张婧,Zhang Jing",EA,CNY,烟台东岳动力总成,0,SGM,0,SGM,,0,,,0,,,SGMD06/D16 12MY
11048336,HEX HEAD SCREW-M 8X 25 Z 3 SECHSKANTSCHR-,527702880,上海上标汽车紧固件有限公司,527702880:上海上标汽车紧固件有限公司,"张婧,Zhang Jing",EA,CNY,烟台东岳动力总成,0,SGM,0,SGM,,0,,,0,,,SGMD06 MY14
11048336,HEX HEAD SCREW-M 8X 25 Z 3 SECHSKANTSCHR-,527702880,上海上标汽车紧固件有限公司,527702880:上海上标汽车紧固件有限公司,"张婧,Zhang Jing",EA,CNY,烟台东岳动力总成,0,SGM,0,SGM,,0,,,0,,,SGMD11-Turbo 2011MY
